Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode,CognitiveComplexity,HalsteadMaintainIdx
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,,,,,,,,,,,,,238,51,187,0,5,1,4,1,,,0,,34,0,0,"0,00","0,00",,"0,00"
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,,,,,,,,,,,,,13,0,13,0,1,0,1,1,,,0,,1,0,0,"0,00","0,00",,"0,00"
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,1,0,1,1,,,0,,1,0,0,"0,00","0,00",,"0,00"
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,,,,,,,,,,,,,84,15,69,0,5,2,3,1,,,0,,18,0,0,"0,00","0,00",,"0,00"
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,,,,,,,,,,,,,33,6,27,0,19,7,14,5,,,2,,5,0,0,"0,00","0,00",,"0,00"
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,,,,,,,,,,,,,148,23,125,0,7,2,5,1,,,0,,19,0,0,"0,00","0,00",,"0,00"
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,1,,,0,,1,0,0,"0,00","0,00",,"0,00"
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,,,,,,,,,,,,,190,46,144,0,6,2,4,1,,,0,,21,0,0,"0,00","0,00",,"0,00"
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,,,,,,,,,,,,,136,21,115,0,8,2,6,1,,,0,,27,0,0,"0,00","0,00",,"0,00"
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,,,,,,,,,,,,,221,31,190,0,9,3,6,1,,,0,,32,0,0,"0,00","0,00",,"0,00"
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,1,0,1,1,,,0,,1,0,0,"0,00","0,00",,"0,00"
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,,,,,,,,,,,,,220,42,178,0,11,3,8,1,,,0,,38,0,0,"0,00","0,00",,"0,00"
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,,,,,,,,,,,,,285,43,242,0,9,3,6,1,,,0,,57,0,0,"0,00","0,00",,"0,00"
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,,,,,,,,,,,,,25,6,19,0,13,4,11,4,,,2,,4,0,0,"0,00","0,00",,"0,00"
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,,,,,,,,,,,,,74,17,57,0,40,9,34,10,,,3,,10,0,0,"0,00","0,00",,"0,00"
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,1,0,1,1,,,0,,1,0,0,"0,00","0,00",,"0,00"
Unnamed Function,"(unnamed_function_1).(unnamed_function_10)",,,,,,,,,,,,,,,,,,,,,,,,50,5,45,0,2,0,2,1,,,0,,7,0,0,"0,00","0,00",,"0,00"
Unnamed Function,"(unnamed_function_1).(unnamed_function_10).(unnamed_function_11)",,,,,,,,,,,,,,,,,,,,,,,,26,2,24,0,7,1,7,1,,,0,,3,0,0,"0,00","0,00",,"0,00"
Unnamed Function,"(unnamed_function_1).(unnamed_function_10).(unnamed_function_11).(unnamed_function_12)",,,,,,,,,,,,,,,,,,,,,,,,9,0,9,0,3,0,3,2,,,1,,2,0,0,"0,00","0,00",,"0,00"
Unnamed Function,"(unnamed_function_1).(unnamed_function_10).(unnamed_function_13)",,,,,,,,,,,,,,,,,,,,,,,,21,2,19,0,4,1,4,1,,,0,,3,0,0,"0,00","0,00",,"0,00"
Unnamed Function,"(unnamed_function_1).(unnamed_function_10).(unnamed_function_13).(unnamed_function_14)",,,,,,,,,,,,,,,,,,,,,,,,9,0,9,0,3,0,3,2,,,1,,2,0,0,"0,00","0,00",,"0,00"
Unnamed Function,"(unnamed_function_1).(unnamed_function_11)",,,,,,,,,,,,,,,,,,,,,,,,38,10,28,0,5,1,5,1,,,0,,5,0,0,"0,00","0,00",,"0,00"
Unnamed Function,"(unnamed_function_1).(unnamed_function_11)",,,,,,,,,,,,,,,,,,,,,,,,30,5,25,0,3,0,3,1,,,0,,9,0,0,"0,00","0,00",,"0,00"
Unnamed Function,"(unnamed_function_1).(unnamed_function_11).(unnamed_function_12)",,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,1,0,1,1,,,0,,1,0,0,"0,00","0,00",,"0,00"
Unnamed Function,"(unnamed_function_1).(unnamed_function_11).(unnamed_function_12)",,,,,,,,,,,,,,,,,,,,,,,,10,1,9,0,3,1,3,1,,,0,,3,0,0,"0,00","0,00",,"0,00"
Unnamed Function,"(unnamed_function_1).(unnamed_function_11).(unnamed_function_12).(unnamed_function_13)",,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,0,0,0,1,,,0,,2,0,0,"0,00","0,00",,"0,00"
Unnamed Function,"(unnamed_function_1).(unnamed_function_11).(unnamed_function_12).(unnamed_function_13).service.(unnamed_function_14)",,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,1,,,0,,1,0,0,"0,00","0,00",,"0,00"
Unnamed Function,"(unnamed_function_1).(unnamed_function_11).(unnamed_function_13)",,,,,,,,,,,,,,,,,,,,,,,,9,2,7,0,3,0,3,1,,,0,,1,0,0,"0,00","0,00",,"0,00"
Unnamed Function,"(unnamed_function_1).(unnamed_function_11).(unnamed_function_14)",,,,,,,,,,,,,,,,,,,,,,,,9,2,7,0,3,0,3,1,,,0,,1,0,0,"0,00","0,00",,"0,00"
Unnamed Function,"(unnamed_function_1).(unnamed_function_11).(unnamed_function_15)",,,,,,,,,,,,,,,,,,,,,,,,10,2,8,0,3,0,3,1,,,0,,1,0,0,"0,00","0,00",,"0,00"
Unnamed Function,"(unnamed_function_1).(unnamed_function_11).(unnamed_function_15)",,,,,,,,,,,,,,,,,,,,,,,,10,1,9,0,3,1,3,1,,,0,,3,0,0,"0,00","0,00",,"0,00"
Unnamed Function,"(unnamed_function_1).(unnamed_function_11).(unnamed_function_15).(unnamed_function_16)",,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,0,0,0,1,,,0,,2,0,0,"0,00","0,00",,"0,00"
Unnamed Function,"(unnamed_function_1).(unnamed_function_11).(unnamed_function_15).(unnamed_function_16).service.(unnamed_function_17)",,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,1,,,0,,1,0,0,"0,00","0,00",,"0,00"
Unnamed Function,"(unnamed_function_1).(unnamed_function_11).(unnamed_function_18)",,,,,,,,,,,,,,,,,,,,,,,,6,1,5,0,3,1,3,1,,,0,,2,0,0,"0,00","0,00",,"0,00"
Unnamed Function,"(unnamed_function_1).(unnamed_function_11).(unnamed_function_18).(unnamed_function_19)",,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,1,,,0,,1,0,0,"0,00","0,00",,"0,00"
Unnamed Function,"(unnamed_function_1).(unnamed_function_12)",,,,,,,,,,,,,,,,,,,,,,,,39,8,31,0,3,0,3,1,,,0,,7,0,0,"0,00","0,00",,"0,00"
